id,name,category,school_id,riasec_code,heat,employment_rate,intro,core_courses,career_paths,industry_outlook,suits
M00101,保险学,经济学,S001,IE,50,0.842,保险学属于经济学门类，系统学习该领域的基础理论与专业技能。,经济学基础|专业核心课|实践与实验|前沿专题,经济学相关技术岗|行业研发/管理|深造读研|考公考编,经济学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对经济学领域有兴趣、愿意系统学习的人。
M00102,教育学,教育学,S001,SI,60,0.762,研究教育规律与人的发展，面向教学、教研与教育管理。,教育学原理|教育心理学|课程与教学论|教育研究方法,教师|教研员|教育机构|教育行政,考编需求稳定，教育数字化带来新岗位。,有爱心耐心、喜欢与学生相处、乐于助人成长的人。
M00103,社会学,法学,S001,SE,45,0.824,社会学属于法学门类，系统学习该领域的基础理论与专业技能。,法学基础|专业核心课|实践与实验|前沿专题,法学相关技术岗|行业研发/管理|深造读研|考公考编,法学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对法学领域有兴趣、愿意系统学习的人。
M00104,物理学,理学,S001,IR,55,0.744,探索物质与能量的基本规律，是众多工科与高新技术的源头。,力学|电磁学|量子力学|热力学统计物理|电动力学,科研深造|半导体/光电|教育|技术研发,基础学科，深造后在芯片、新材料、科研领域有空间。,好奇心强、数理拔尖、有志于科研或高新技术的人。
M00105,英语,文学,S001,AS,62,0.756,学习英语语言文学与翻译，是跨文化沟通的工具型专业。,综合英语|英语写作|翻译|语言学|英美文学,教师|翻译|外贸|涉外文秘,需'英语+第二技能'复合，单一语言竞争力下降。,语言天赋好、喜欢跨文化交流、表达流畅的人。
M00106,环境设计,艺术学,S001,AE,44,0.847,环境设计属于艺术学门类，系统学习该领域的基础理论与专业技能。,艺术学基础|专业核心课|实践与实验|前沿专题,艺术学相关技术岗|行业研发/管理|深造读研|考公考编,艺术学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对艺术学领域有兴趣、愿意系统学习的人。
M00107,经济学,经济学,S001,IE,78,0.844,研究资源配置与经济运行规律，培养理性分析经济问题的能力。,微观经济学|宏观经济学|计量经济学|货币银行学|财政学,银行/证券|政策研究|咨询|企业经济分析,口径宽、平台高，名校背景与量化能力是关键。,对社会经济现象感兴趣、逻辑与数理兼备的人。
M00108,能源与动力工程,工学,S001,RI,40,0.793,能源与动力工程属于工学门类，系统学习该领域的基础理论与专业技能。,工学基础|专业核心课|实践与实验|前沿专题,工学相关技术岗|行业研发/管理|深造读研|考公考编,工学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对工学领域有兴趣、愿意系统学习的人。
M00201,化学,理学,S002,IR,44,0.77,研究物质的组成、性质与变化，连接材料、能源与生命科学。,无机化学|有机化学|分析化学|物理化学|结构化学,材料/化工研发|制药|质检分析|科研深造,需深造提升竞争力，新能源与新材料带来新机会。,喜欢做实验、对微观世界好奇、细致耐心的人。
M00202,信息与计算科学,理学,S002,IR,46,0.772,信息与计算科学属于理学门类，系统学习该领域的基础理论与专业技能。,理学基础|专业核心课|实践与实验|前沿专题,理学相关技术岗|行业研发/管理|深造读研|考公考编,理学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对理学领域有兴趣、愿意系统学习的人。
M00203,能源与动力工程,工学,S002,RI,51,0.808,能源与动力工程属于工学门类，系统学习该领域的基础理论与专业技能。,工学基础|专业核心课|实践与实验|前沿专题,工学相关技术岗|行业研发/管理|深造读研|考公考编,工学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对工学领域有兴趣、愿意系统学习的人。
M00204,药学,医学,S002,IS,42,0.794,药学属于医学门类，系统学习该领域的基础理论与专业技能。,医学基础|专业核心课|实践与实验|前沿专题,医学相关技术岗|行业研发/管理|深造读研|考公考编,医学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对医学领域有兴趣、愿意系统学习的人。
M00205,英语,文学,S002,AS,61,0.803,学习英语语言文学与翻译，是跨文化沟通的工具型专业。,综合英语|英语写作|翻译|语言学|英美文学,教师|翻译|外贸|涉外文秘,需'英语+第二技能'复合，单一语言竞争力下降。,语言天赋好、喜欢跨文化交流、表达流畅的人。
M00206,市场营销,管理学,S002,EC,43,0.84,市场营销属于管理学门类，系统学习该领域的基础理论与专业技能。,管理学基础|专业核心课|实践与实验|前沿专题,管理学相关技术岗|行业研发/管理|深造读研|考公考编,管理学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对管理学领域有兴趣、愿意系统学习的人。
M00301,法学,法学,S003,SE,73,0.783,研究法律规则与制度，培养依法分析与解决纠纷的能力。,法理学|宪法学|民法|刑法|诉讼法|经济法,律师|法务|公检法（需考试）|公务员,需通过法考，头部律所与公职竞争激烈但回报可观。,表达与逻辑强、记忆力好、有正义感与抗压力的人。
M00302,保险学,经济学,S003,IE,39,0.848,保险学属于经济学门类，系统学习该领域的基础理论与专业技能。,经济学基础|专业核心课|实践与实验|前沿专题,经济学相关技术岗|行业研发/管理|深造读研|考公考编,经济学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对经济学领域有兴趣、愿意系统学习的人。
M00303,国际经济与贸易,经济学,S003,IE,46,0.803,国际经济与贸易属于经济学门类，系统学习该领域的基础理论与专业技能。,经济学基础|专业核心课|实践与实验|前沿专题,经济学相关技术岗|行业研发/管理|深造读研|考公考编,经济学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对经济学领域有兴趣、愿意系统学习的人。
M00304,土木工程,工学,S003,RC,44,0.783,研究房屋、桥梁、道路等基础设施的设计与建造。,结构力学|混凝土结构|土力学|工程测量|施工技术,结构工程师|施工管理|造价工程师|设计院技术岗,基建增速放缓，转向运维、地下空间与新基建方向。,踏实能吃苦、愿意下现场、对工程建造有兴趣的人。
M00305,金融学,经济学,S003,EC,94,0.797,研究资金的融通与资产定价，是高薪向往者的热门选择。,金融学|公司金融|投资学|金融市场|计量经济学,银行|证券/基金|风控|金融科技,头部岗位高薪但竞争激烈，量化与复合背景吃香。,关注市场、抗压、数理与沟通俱佳、进取心强的人。
M00306,经济学,经济学,S003,IE,80,0.811,研究资源配置与经济运行规律，培养理性分析经济问题的能力。,微观经济学|宏观经济学|计量经济学|货币银行学|财政学,银行/证券|政策研究|咨询|企业经济分析,口径宽、平台高，名校背景与量化能力是关键。,对社会经济现象感兴趣、逻辑与数理兼备的人。
M00307,社会学,法学,S003,SE,39,0.802,社会学属于法学门类，系统学习该领域的基础理论与专业技能。,法学基础|专业核心课|实践与实验|前沿专题,法学相关技术岗|行业研发/管理|深造读研|考公考编,法学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对法学领域有兴趣、愿意系统学习的人。
M00401,临床医学,医学,S004,IS,88,0.837,培养能诊治疾病的医生，学制长、投入大、社会价值高。,人体解剖学|生理学|病理学|诊断学|内科学|外科学,临床医生|住院医师|专科医生|医学研究,需求刚性、职业稳定，但需读研规培、成才周期长。,责任心强、能承受压力与长学制、愿意救死扶伤的人。
M00402,信息与计算科学,理学,S004,IR,39,0.759,信息与计算科学属于理学门类，系统学习该领域的基础理论与专业技能。,理学基础|专业核心课|实践与实验|前沿专题,理学相关技术岗|行业研发/管理|深造读研|考公考编,理学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对理学领域有兴趣、愿意系统学习的人。
M00403,广告学,文学,S004,AS,45,0.821,广告学属于文学门类，系统学习该领域的基础理论与专业技能。,文学基础|专业核心课|实践与实验|前沿专题,文学相关技术岗|行业研发/管理|深造读研|考公考编,文学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对文学领域有兴趣、愿意系统学习的人。
M00404,环境设计,艺术学,S004,AE,44,0.831,环境设计属于艺术学门类，系统学习该领域的基础理论与专业技能。,艺术学基础|专业核心课|实践与实验|前沿专题,艺术学相关技术岗|行业研发/管理|深造读研|考公考编,艺术学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对艺术学领域有兴趣、愿意系统学习的人。
M00405,视觉传达设计,艺术学,S004,AE,64,0.746,用视觉语言传递信息，涵盖品牌、平面与数字界面设计。,设计基础|字体与版式|品牌设计|UI 设计|图形创意,平面/品牌设计师|UI/UX 设计|插画|广告创意,数字内容旺盛，需紧跟工具与审美趋势保持竞争力。,审美好、有创意、喜欢用视觉表达想法的人。
M00406,汉语言文学,文学,S004,AS,64,0.768,研究中国语言文学，是文科'母机'专业，口径宽、底蕴深。,现代汉语|古代汉语|中国古代文学|文学理论|写作,教师|编辑/新媒体|文案|公务员/文秘,考编考公友好，内容行业需要优秀的文字能力。,热爱阅读写作、语言感受力强、表达细腻的人。
M00407,自动化,工学,S004,RI,76,0.837,研究如何让系统自动控制运行，横跨机器人、工业与智能装备。,自动控制原理|电机与拖动|传感器技术|单片机|过程控制,控制工程师|机器人研发|工业自动化|电气工程师,智能制造主力专业，应用面广、就业口径宽。,喜欢系统思维、软硬通吃、对机器人/智能装备感兴趣的人。
M00408,学前教育,教育学,S004,SA,45,0.804,培养幼儿教育人才，重视儿童发展与综合素养。,学前心理学|学前教育学|幼儿园课程|儿童游戏|艺术技能,幼儿教师|早教|幼教管理|儿童产品,学前普惠政策推进，持证就业需求稳定。,喜欢孩子、有亲和力与艺术表现力、耐心细致的人。
M00501,学前教育,教育学,S005,SA,44,0.894,培养幼儿教育人才，重视儿童发展与综合素养。,学前心理学|学前教育学|幼儿园课程|儿童游戏|艺术技能,幼儿教师|早教|幼教管理|儿童产品,学前普惠政策推进，持证就业需求稳定。,喜欢孩子、有亲和力与艺术表现力、耐心细致的人。
M00502,工商管理,管理学,S005,ES,69,0.798,学习企业经营管理的通识，培养综合管理与商业思维。,管理学|市场营销|组织行为学|财务管理|战略管理,管培生|运营/市场|人力资源|创业,口径宽但偏通识，需用实习与技能形成差异化竞争力。,善于沟通协调、有领导欲、喜欢与人和业务打交道的人。
M00503,环境设计,艺术学,S005,AE,40,0.803,环境设计属于艺术学门类，系统学习该领域的基础理论与专业技能。,艺术学基础|专业核心课|实践与实验|前沿专题,艺术学相关技术岗|行业研发/管理|深造读研|考公考编,艺术学门类应用面较广，结合个人兴趣与实习可形成竞争力。,对艺术学领域有兴趣、愿意系统学习的人。
